,title,REVISADO (bibtex citation),Google link,Taxonomy,Systematic,Mexico,Morphology,First gen.,Second gen.,Third gen.,Nuclear info,Chloroplast info,Parsimony,Maximum likelihood,Bayesian,MSC
0,'Andean-centred' genera in the short-branch clade of Annonaceae: testing biogeographical hypotheses using phylogeny reconstruction and molecular dating,,https://scholar.google.com/scholar?&q=%27Andean-centred%27+genera+in+the+short-branch+clade+of+Annonaceae%3A+testing+biogeographical+hypotheses+using+phylogeny+reconstruction+and+molecular+dating,?,Auto,?,?,?,?,?,?,?,?,?,?,?
2,'Mediterranean' disjunction in Senecio sect. Senecio (Asteraceae): historical biogeography and long-distance dispersal,,https://scholar.google.com/scholar?&q=%27Mediterranean%27+disjunction+in+Senecio+sect.+Senecio+%28Asteraceae%29%3A+historical+biogeography+and+long-distance+dispersal,?,Auto,?,?,?,?,?,?,?,?,?,?,?
4,'What are natural clades in the Caesalpinia group?' Advances in Legume Systematics X: Higher Level Systematics and Biogeography,,https://scholar.google.com/scholar?&q=%27What+are+natural+clades+in+the+Caesalpinia+group%3F%27+Advances+in+Legume+Systematics+X%3A+Higher+Level+Systematics+and+Biogeography,?,Auto,?,?,?,?,?,?,?,?,?,?,?
18,"5S NTS of chili peppers (Capsicum-Solanaceae): structure, evolution and taxonomic value",,https://scholar.google.com/scholar?&q=5S+NTS+of+chili+peppers+%28Capsicum-Solanaceae%29%3A+structure%2C+evolution+and+taxonomic+value,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
23,A 10-gene phylogeny of Solanum section Herpystichum (Solanaceae) and a comparison of phylogenetic methods,,https://scholar.google.com/scholar?&q=A+10-gene+phylogeny+of+Solanum+section+Herpystichum+%28Solanaceae%29+and+a+comparison+of+phylogenetic+methods,?,Auto,?,?,?,?,?,?,?,?,?,?,?
26,A 250 plastome phylogeny of the grass family (Poaceae): topological support under different data partitions,,https://scholar.google.com/scholar?&q=A+250+plastome+phylogeny+of+the+grass+family+%28Poaceae%29%3A+topological+support+under+different+data+partitions,?,Auto,?,?,?,?,?,?,?,?,?,?,?
28,A 3-gene phylogeny of old world spiny Solanum,,https://scholar.google.com/scholar?&q=A+3-gene+phylogeny+of+old+world+spiny+Solanum,?,Auto,?,?,?,?,?,?,?,?,?,?,?
29,A 313 plastome phylogenomic analysis of Pooideae: Exploring relationships among the largest subfamily of grasses,,https://scholar.google.com/scholar?&q=A+313+plastome+phylogenomic+analysis+of+Pooideae%3A+Exploring+relationships+among+the+largest+subfamily+of+grasses,?,Auto,?,?,?,?,?,?,?,?,?,?,?
32,A Chloroplast Phylogeny of Agavaceae subfamily Chlorogaloideae: Implications for the Tempo of Evolution on Serpentine Soils,,https://scholar.google.com/scholar?&q=A+Chloroplast+Phylogeny+of+Agavaceae+subfamily+Chlorogaloideae%3A+Implications+for+the+Tempo+of+Evolution+on+Serpentine+Soils,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
33,A Chloroplast Phylogeny of Tribe Heliantheae (Asteraceae),,https://scholar.google.com/scholar?&q=A+Chloroplast+Phylogeny+of+Tribe+Heliantheae+%28Asteraceae%29,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
35,A Combined Molecular Phylogeny of Encyclia (Orchidaceae) and Relationships within Laeliinae,,https://scholar.google.com/scholar?&q=A+Combined+Molecular+Phylogeny+of+Encyclia+%28Orchidaceae%29+and+Relationships+within+Laeliinae,?,Auto,?,?,?,?,?,?,?,?,?,?,?
47,A Diploids-First Approach to Species Delimitation and Interpreting Polyploid Evolution in the Fern Genus Astrolepis (Pteridaceae),,https://scholar.google.com/scholar?&q=A+Diploids-First+Approach+to+Species+Delimitation+and+Interpreting+Polyploid+Evolution+in+the+Fern+Genus+Astrolepis+%28Pteridaceae%29,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
