	title	REVISADO (bibtex citation)	Google link
SRA-10	1) 37 diploid Helianthus species with Phoebanthus tenuifolius as the outgroup 2)Targeted Locus (Loci) 3) Phylogenomics of Helianthus	No existe	https://scholar.google.com/scholar?&q=1%29+37+diploid+Helianthus+species+with+Phoebanthus+tenuifolius+as+the+outgroup+2%29Targeted+Locus+%28Loci%29+3%29+Phylogenomics+of+Helianthus
SRA-22	3D genome reorganizations in the evolution and domestication of soybean	No existe	https://scholar.google.com/scholar?&q=3D+genome+reorganizations+in+the+evolution+and+domestication+of+soybean
SRA-24	A New Pipeline for Removing Paralogs in Target Enrichment Data, Phylogenomics and Biogeography of Castanea and Hamamelis - a comparison between RAD-seq and Hyb-Seq data	@article{Zhou2021Jun,         author = {Zhou, Wenbin and Soghigian, John and Xiang, Qiu-Yun (Jenny)},         title = {{A New Pipeline for Removing Paralogs in Target Enrichment Data}},         journal = {Systematic Biology},         year = {2021},         month = {Jun},         issn = {1076-836X},         doi = {10.1093/sysbio/syab044},         abstract = {{Target enrichment (such as Hyb-Seq) is a well-established high throughput sequencing method that has been increasingly used for phylogenomic studies. Unfortunately, current widely used pipelines for analysis of target enrichment data do not have a vigorous procedure to remove paralogs in target enrichment data. In this study, we develop a pipeline we call Putative Paralogs Detection (PPD) to better address putative paralogs from enrichment data. The new pipeline is an add-on to the existing HybPiper pipeline, and the entire pipeline applies criteria in both sequence similarity and heterozygous sites at each locus in the identification of paralogs. Users may adjust the thresholds of sequence identity and heterozygous sites to identify and remove paralogs according to the level of phylogenetic divergence of their group of interest. The new pipeline also removes highly polymorphic sites attributed to errors in sequence assembly and gappy regions in the alignment. We demonstrated the value of the new pipeline using empirical data generated from Hyb-Seq and the Angiosperm 353 kit for two woody genera Castanea (Fagaceae, Fagales) and Hamamelis (Hamamelidaceae, Saxifragales). Comparisons of datasets showed that the PPD identified many more putative paralogs than the popular method HybPiper. Comparisons of tree topologies and divergence times showed evident differences between data from HybPiper and data from our new PPD pipeline. We further evaluated the accuracy and error rates of PPD by BLAST mapping of putative paralogous and orthologous sequences to a reference genome sequence of Castanea mollissima. Compared to HybPiper alone, PPD identified substantially more paralogous gene sequences that mapped to multiple regions of the reference genome (31 genes for PPD compared with 4 genes for HybPiper alone). In conjunction with HybPiper, paralogous genes identified by both pipelines can be removed resulting in the construction of more robust orthologous gene datasets for phylogenomic and divergence time analyses. Our study demonstrates the value of Hyb-Seq with data derived from the Angiosperm 353 probe set for elucidating species relationships within a genus, and argues for the importance of additional steps to filter paralogous genes and poorly aligned regions (e.g., as occur through assembly errors), such as our new PPD pipeline described in this study.}} }	https://scholar.google.com/scholar?&q=A+New+Pipeline+for+Removing+Paralogs+in+Target+Enrichment+Data%2C+Phylogenomics+and+Biogeography+of+Castanea+and+Hamamelis+-+a+comparison+between+RAD-seq+and+Hyb-Seq+data
SRA-27	A VIEW OF RHYNCHOSPOREAE (CYPERACEAE) DIVERSIFICATION BEFORE AND AFTER THE APPLICATION OF ANCHORED PHYLOGENOMICS ACROSS THE ANGIOSPERMS	Thesis	https://scholar.google.com/scholar?&q=A+VIEW+OF+RHYNCHOSPOREAE+%28CYPERACEAE%29+DIVERSIFICATION+BEFORE+AND+AFTER+THE+APPLICATION+OF+ANCHORED+PHYLOGENOMICS+ACROSS+THE+ANGIOSPERMS
SRA-28	A backbone phylogeny of the American clade oaks Raw sequence reads	No existe	https://scholar.google.com/scholar?&q=A+backbone+phylogeny+of+the+American+clade+oaks+Raw+sequence+reads
SRA-32	A fully resolved backbone phylogeny reveals numerous dispersals and explosive diversifications throughout the history of Asteraceae	@article{Mandel2019Jul,         author = {Mandel, Jennifer R. and Dikow, Rebecca B. and Siniscalchi, Carolina M. and Thapa, Ramhari and Watson, Linda E. and Funk, Vicki A.},         title = {{A fully resolved backbone phylogeny reveals numerous dispersals and explosive diversifications throughout the history of Asteraceae}},         journal = {Proceedings of the National Academy of Sciences},         volume = {116},         number = {28},         pages = {14083--14088},         year = {2019},         month = {Jul},         issn = {0027-8424},         publisher = {National Academy of Sciences},         doi = {10.1073/pnas.1903871116},         abstract = {{The sunflower family, Asteraceae, comprises 10% of all flowering plant species and displays an incredible diversity of form. Asteraceae are clearly monophyletic, yet resolving phylogenetic relationships within the family has proven difficult, hindering our ability to understand its origin and diversification. Recent molecular clock dating has suggested a Cretaceous origin, but the lack of deep sampling of many genes and representative taxa from across the family has impeded the resolution of migration routes and diversifications that led to its global distribution and tremendous diversity. Here we use genomic data from 256 terminals to estimate evolutionary relationships, timing of diversification(s), and biogeographic patterns. Our study places the origin of Asteraceae at ∼83 MYA in the late Cretaceous and reveals that the family underwent a series of explosive radiations during the Eocene which were accompanied by accelerations in diversification rates. The lineages that gave rise to nearly 95% of extant species originated and began diversifying during the middle Eocene, coincident with the ensuing marked cooling during this period. Phylogenetic and biogeographic analyses support a South American origin of the family with subsequent dispersals into North America and then to Asia and Africa, later followed by multiple worldwide dispersals in many directions. The rapid mid-Eocene diversification is aligned with the biogeographic range shift to Africa where many of the modern-day tribes appear to have originated. Our robust phylogeny provides a framework for future studies aimed at understanding the role of the macroevolutionary patterns and processes that generated the enormous species diversity of Asteraceae.}} }	https://scholar.google.com/scholar?&q=A+fully+resolved+backbone+phylogeny+reveals+numerous+dispersals+and+explosive+diversifications+throughout+the+history+of+Asteraceae
SRA-38	A photosynthesis operon in the chloroplast genome drives speciation in evening primroses	@article{Zupok2020Jul,         author = {Zupok, Arkadiusz and Kozul, Danijela and Schöttler, Mark Aurel and Niehörster, Julia and Garbsch, Frauke and Liere, Karsten and Malinova, Irina and Bock, Ralph and Greiner, Stephan},         title = {{A photosynthesis operon in the chloroplast genome drives speciation in evening primroses}},         journal = {bioRxiv},         pages = {2020.07.03.186627},         year = {2020},         month = {Jul},         publisher = {Cold Spring Harbor Laboratory},         eprint = {2020.07.03.186627},         url = {https://doi.org/10.1101/2020.07.03.186627},         abstract = {{Incompatibility between the cytoplasm and the nucleus is considered as major factor in species formation, but mechanistic understanding is poor. In evening primroses, a model plant for organelle genetics and population biology, hybrid offspring regularly displays chloroplast-nuclear incompatibility. These incompatibilities affect photosynthesis, a trait under selection in changing environments. Here we show that light-dependent misregulation of the plastid psbB operon (encoding core subunits of photosystem II and the cytochrome b6f complex), can lead to hybrid incompatibility, thus ultimately driving speciation. This misregulation results in an impaired light acclimation response in incompatible plants. Moreover, as a result of their different chloroplast genotypes, the parental lines differ in their photosynthesis performance upon exposure to different light conditions. Significantly, the incompatible chloroplast genome is naturally found in xeric habitats with high light intensities, whereas the compatible one is limited to mesic habitats. Consequently, our data raise the possibility that the hybridization barrier evolved as a result of adaptation to specific climatic conditions.}} }	https://scholar.google.com/scholar?&q=A+photosynthesis+operon+in+the+chloroplast+genome+drives+speciation+in+evening+primroses
SRA-39	A phylogenomic analysis of Nepenthes (Nepenthaceae)	@article{Murphy2020Mar,         author = {Murphy, Bruce and Forest, Félix and Barraclough, Timothy and Rosindell, James and Bellot, Sidonie and Cowan, Robyn and Golos, Michal and Jebb, Matthew and Cheek, Martin},         title = {{A phylogenomic analysis of Nepenthes (Nepenthaceae)}},         journal = {Molecular Phylogenetics and Evolution},         volume = {144},         pages = {106668},         year = {2020},         month = {Mar},         issn = {1055-7903},         publisher = {Academic Press},         doi = {10.1016/j.ympev.2019.106668},         abstract = {{Nepenthaceae is one of the largest carnivorous plant families and features ecological and morphological adaptations indicating an impressive adaptive radiation. However, investigation of evolutionary and taxonomic questions is hindered by poor phylogenetic understanding, with previous molecular studies based on limited loci and taxa. We use high-throughput sequencing with a target-capture methodology based on a 353-loci, probe set to recover sequences for 197 samples, representing 151 described or putative Nepenthes species. Phylogenetic analyses were performed using supermatrix and maximum quartet species tree approaches. Our analyses confirm five Western outlier taxa, followed by N. danseri, as successively sister to the remainder of the group. We also find mostly consistent recovery of two major Southeast Asian clades. The first contains common or widespread lowland species plus a Wallacean–New Guinean clade. Within the second clade, sects. Insignes and Tentaculatae are well supported, while geographically defined clades representing Sumatra, Indochina, Peninsular Malaysia, Palawan, Mindanao and Borneo are also consistently recovered. However, we find considerable conflicting signal at the site and locus level, and often unstable backbone relationships. A handful of Bornean taxa are inconsistently placed and require further investigation. We make further suggestions for a modified infra-generic classification of genus Nepenthes. Graphical abstract Download : Download high-res image (140KB)Download : Download full-size image}} }	https://scholar.google.com/scholar?&q=A+phylogenomic+analysis+of+Nepenthes+%28Nepenthaceae%29
SRA-40	A preliminary study of the Phylogeny of Apioideae (Apiaceae) based on transcriptome data and morphological	No existe	https://scholar.google.com/scholar?&q=A+preliminary+study+of+the+Phylogeny+of+Apioideae+%28Apiaceae%29+based+on+transcriptome+data+and+morphological
SRA-41	A protocol for Laser Microdissection (LMD) followed by transcriptome analysis of plant reproductive tissue in phylogenetically distant angiosperms	@article{Kivivirta2019Dec,         author = {Kivivirta, Kimmo and Herbert, Denise and Lange, Matthias and Beuerlein, Knut and Altmüller, Janine and Becker, Annette},         title = {{A protocol for laser microdissection (LMD) followed by transcriptome analysis of plant reproductive tissue in phylogenetically distant angiosperms}},         journal = {Plant Methods},         volume = {15},         number = {1},         pages = {1--11},         year = {2019},         month = {Dec},         issn = {1746-4811},         publisher = {BioMed Central},         doi = {10.1186/s13007-019-0536-3},         abstract = {{Plant development is controlled by the action of many, often connected gene regulatory networks. Differential gene expression controlled by internal and external cues is a major driver of growth and time specific differentiation in plants. Transcriptome analysis is the state-of-the-art method to detect spatio-temporal changes in gene expression during development. Monitoring changes in gene expression at early stages or in small plant organs and tissues requires an accurate technique of tissue isolation, which subsequently results in RNA of sufficient quality and quantity. Laser-microdissection enables such accurate dissection and collection of desired tissue from sectioned material at a microscopic level for RNA extraction and subsequent downstream analyses, such as transcriptome, proteome, genome or miRNA. A protocol for laser-microdissection, RNA extraction and RNA-seq was optimized and verified for three distant angiosperm species: Arabidopsis thaliana (Brassicaceae), Oryza sativa (Poaceae) and Eschscholzia californica (Papaveraceae). Previously published protocols were improved in processing speed by reducing the vacuum intensity and incubation time during tissue fixation and incubation time and cryoprotection and by applying adhesive tape. The sample preparation and sectioning of complex and heterogenous flowers produced adequate histological quality and subsequent RNA extraction from micro-dissected gynoecia reliably generated samples of sufficient quality and quantity on all species for RNA-seq. Expression analysis of growth stage specific A. thaliana and O. sativa transcriptomes showed distinct patterns of expression of chromatin remodelers on different time points of gynoecium morphogenesis from the initiation of development to post-meiotic stages. Here we describe a protocol for plant tissue preparation, cryoprotection, cryo-sectioning, laser microdissection and RNA sample preparation for Illumina sequencing of complex plant organs from three phyletically distant plant species. We are confident that this approach is widely applicable to other plant species to enable transcriptome analysis with high spatial resolution in non-model plant species. The protocol is rapid, produces high quality sections of complex organs and results in RNA of adequate quality well suited for RNA-seq approaches. We provide detailed description of each stage of sample preparation with the quality and quantity measurements as well as an analysis of generated transcriptomes.}} }	https://scholar.google.com/scholar?&q=A+protocol+for+Laser+Microdissection+%28LMD%29+followed+by+transcriptome+analysis+of+plant+reproductive+tissue+in+phylogenetically+distant+angiosperms
