Cibotium schiedei
Cyathea aristata
Trichomanes angustifrons
Trichomanes bucinatum
Isoetes mexicana
Isoetes pringlei
Isoetes tamaulipana
Huperzia beiteliana
Marattia laxa
Botrychium pseudo-schaffneri
Botrychium socorrense
Botrychium tolucaense
Asplenium arcanum
Asplenium blepharodes
Asplenium dianae
Asplenium eatonii
Asplenium fibrillosum
Asplenium gentryi
Asplenium insolitum
Asplenium modestum
Asplenium munchii
Asplenium oligosorum
Asplenium pringlei
Asplenium sanchezii
Asplenium semipinnatum
Asplenium soleirolioides
Asplenium stolonipes
Asplenium tryonii
Asplenium ultimum
Asplenium venturae
Asplenium yelagagense
Holodictyum ghiesbreghtii
Athyrium tejeroi
Diplazium diplazioides
Diplazium errans
Diplazium hellwigii
Diplazium puberulentum
Diplazium wendtii
Woodwardia martinezii
Woodwardia semicordata
Cystopteris millefolia
Hypolepis melanochlaena
Hypolepis microchlaena
Hypolepis munchii
Hypolepis thysanochlaena
Hypolepis trichochlaena
Ctenitis baulensis
Ctenitis bullata
Ctenitis chiapasensis
Ctenitis mexicana
Ctenitis ursina
Dryopteris feei
Dryopteris munchii
Dryopteris patens
Dryopteris rossii
Dryopteris sugescens
Elaphoglossum alansmithii
Elaphoglossum angustifrons
Elaphoglossum decursivum
Elaphoglossum dissitifrons
Elaphoglossum eximium
Elaphoglossum ipshookense
Elaphoglossum jaliscanum
Elaphoglossum laminarioides
Elaphoglossum laxipes
Elaphoglossum leebrowniae
Elaphoglossum leonardii
Elaphoglossum loreae
Elaphoglossum manantlanense
Elaphoglossum monicae
Elaphoglossum obscurum
Elaphoglossum parduei
Elaphoglossum potosianum
Elaphoglossum pringlei
Elaphoglossum rufescens
Elaphoglossum rzedowskii
Elaphoglossum seminudum
Elaphoglossum trichomallum
Elaphoglossum vestitum
Elaphoglossum xanthopodum
Megalastrum mexicanum
Phanerophlebia gastonyi
Polybotrya caudata
Polystichum aculeatum
Polystichum schizophyllum
Sphenomeris clavata
Campyloneurum madrense
Ceradenia oidiophora
Melpomene zempoaltepetlensis
Microgramma piloselloides
Microgramma reptans
Pecluma ferruginea
Pecluma liebmannii
Pecluma sursumcurrens
Pleopeltis collinsii
Pleopeltis constricta
Pleopeltis conzattii
Pleopeltis fallacissima
Pleopeltis lepidotricha
Pleopeltis lindeniana
Pleopeltis microgrammoides
Pleopeltis polypodioides
Pleopeltis pyrrholepis
Pleopeltis riograndense
Pleopeltis rosei
Pleopeltis rzedowskiana
Pleopeltis villagranii
Pleopeltis x melanoneuron
Pleopeltis x sordidula
Pleopeltis x tricholepis
Polypodium arcanum
Polypodium arthropodium
Polypodium colysoides
Polypodium conterminans
Polypodium chiapense
