Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";41,022;Q1;143;4;11;387;883;11;51,80;96,75;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;71056;"MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC";journal;"15458636, 15460738";20,617;Q1;100;12;50;455;2109;50;40,00;37,92;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
3;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";10,803;Q1;91;6;16;2346;976;16;63,50;391,00;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2020";"Physics and Astronomy (miscellaneous) (Q1)"
4;40944;"Genome Biology";journal;"14747596";9,479;Q1;248;286;699;15569;8651;653;9,45;54,44;United Kingdom;Western Europe;"BioMed Central Ltd.";"2000-2020";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
5;12137;"Journal of Statistical Software";journal;"15487660";9,444;Q1;145;52;237;2512;3122;237;10,64;48,31;United States;Northern America;"University of California at Los Angeles";"1996-2020";"Software (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
6;6200180159;"World Psychiatry";journal;"17238617";9,239;Q1;93;93;280;2875;2338;73;8,46;30,91;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1)"
7;14204;"Nucleic Acids Research";journal;"03051048, 13624962";8,907;Q1;537;1270;3863;50712;49693;3855;11,67;39,93;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Genetics (Q1)"
8;21100265444;"Lancet Global Health,The";journal;"2214109X";8,055;Q1;88;364;868;6316;4541;240;5,51;17,35;United Kingdom;Western Europe;"Elsevier BV";"2013-2020";"Medicine (miscellaneous) (Q1)"
9;24769;"Materials Today";journal;"13697021";7,609;Q1;177;88;414;8526;4671;181;13,68;96,89;Netherlands;Western Europe;"Elsevier";"1999, 2002-2020";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
10;21100201772;"Physical Review X";journal;"21603308";7,458;Q1;164;236;696;16395;15717;690;23,12;69,47;United States;Northern America;"American Physical Society";"2011-2020";"Physics and Astronomy (miscellaneous) (Q1)"
11;4700152228;"Molecular Systems Biology";journal;"17444292";7,338;Q1;148;50;173;3151;1587;154;8,41;63,02;United States;Northern America;"Wiley-Blackwell";"2005-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
12;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";6,942;Q1;208;304;1113;1228;8850;658;7,71;4,04;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
13;21100804406;"Lancet Public Health, The";journal;"24682667";6,886;Q1;45;158;291;2301;1601;94;5,26;14,56;United Kingdom;Western Europe;"Elsevier Ltd.";"2016-2020";"Public Health, Environmental and Occupational Health (Q1)"
14;19700175140;"Genome Medicine";journal;"1756994X";6,411;Q1;89;89;345;4738;3474;288;8,37;53,24;United Kingdom;Western Europe;"BioMed Central Ltd.";"2009-2020";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)"
15;21100242814;"eLife";journal;"2050084X";6,079;Q1;139;1643;4035;98541;29346;3901;6,78;59,98;United Kingdom;Western Europe;"eLife Sciences Publications";"2012-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
16;21100457028;"Science advances";journal;"23752548";6,062;Q1;146;1233;2158;60100;33503;2143;14,84;48,74;United States;Northern America;"American Association for the Advancement of Science";"2015-2020";"Multidisciplinary (Q1)"
17;21100201068;"Cell Reports";journal;"22111247";6,058;Q1;154;1268;3415;77423;28376;3413;7,93;61,06;United States;Northern America;"Cell Press";"1970, 2012-2020";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
18;19700173023;"Living Reviews in Solar Physics";journal;"16144961, 23673648";5,959;Q1;57;5;13;2443;348;13;29,67;488,60;Switzerland;Western Europe;"Springer International Publishing AG";"2004-2020";"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
19;6400153126;"Theoretical Economics";journal;"15557561";5,672;Q1;32;40;119;1420;278;119;1,98;35,50;United States;Northern America;"Wiley-Blackwell";"2007-2020";"Economics, Econometrics and Finance (miscellaneous) (Q1)"
