Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2004);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;13260;"Biological Research";journal;"07176287, 07169760";0,900;Q1;55;75;117;2346;182;107;1,92;31,28;United Kingdom;Western Europe;"BioMed Central Ltd.";"1992-2020";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
2;4300151406;"Revista Brasileira de Entomologia";journal;"00855626, 18069665";0,649;Q2;31;0;1;0;1;1;1,00;0,00;Brazil;Latin America;"Sociedade Brasileira de Entomologia";"2003, 2005-2020";"Insect Science (Q2)"
3;27797;"Revista Mexicana de Astronomia y Astrofisica";journal;"01851101";0,635;Q2;34;19;77;491;54;77;0,46;25,84;Mexico;Latin America;"Universidad Nacional Autonoma de Mexico";"1996-2020";"Space and Planetary Science (Q2); Astronomy and Astrophysics (Q3)"
4;19700202606;"Andean Geology";journal;"07187092, 07187106";0,587;Q2;36;19;50;1206;46;50;0,88;63,47;Chile;Latin America;"Servicio Nacional de Geologia y Mineria";"2009-2020";"Geochemistry and Petrology (Q2); Geology (Q2); Paleontology (Q2); Stratigraphy (Q2)"
5;18807;"Onderstepoort Journal of Veterinary Research";journal;"22190635, 00302465";0,576;Q1;35;45;121;951;92;121;0,63;21,13;South Africa;Africa;"AOSIS (Pty) Ltd";"1965-2020";"Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q2)"
6;15205;"Memorias do Instituto Oswaldo Cruz";journal;"16788060, 00740276";0,524;Q2;89;176;698;4355;695;695;0,89;24,74;Brazil;Latin America;"Fundacao Oswaldo Cruz";"1945, 1948, 1950-1971, 1974-1976, 1980-2020";"Medicine (miscellaneous) (Q2); Microbiology (medical) (Q2)"
7;19375;"Water S.A.";journal;"18167950, 03784738";0,489;Q2;59;97;210;2075;149;207;0,58;21,39;South Africa;Africa;"South African Water Research Commission";"1976-2020";"Applied Microbiology and Biotechnology (Q2); Management, Monitoring, Policy and Law (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2)"
8;25953;"Dados";journal;"16784588, 00115258";0,482;Q1;26;24;68;1051;18;68;0,30;43,79;Brazil;Latin America;"Inst. Univ. de Pesquisas do Rio de Janeiro";"1996-2020";"Social Sciences (miscellaneous) (Q1)"
9;28675;"Brazilian Journal of Medical and Biological Research";journal;"0100879X, 1414431X";0,397;Q1;88;235;615;6820;635;610;1,00;29,02;Brazil;Latin America;"Associacao Brasileira de Divulgacao Cientifica";"1973-2020";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Medicine (miscellaneous) (Q2); Biochemistry (Q3); Biophysics (Q3); Immunology (Q3); Neuroscience (miscellaneous) (Q3); Physiology (Q3); Cell Biology (Q4)"
10;22364;"Revista do Instituto de Medicina Tropical de Sao Paulo";journal;"16789946, 00364665";0,393;Q2;49;68;212;1729;196;202;0,78;25,43;Brazil;Latin America;"Instituto de Medicina Tropical de Sao Paulo";"1961-2020";"Medicine (miscellaneous) (Q2); Infectious Diseases (Q3)"
