"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Anemia tomentosa","ERX2100002","1000 Plant (1KP) Transcriptomes: The Remaining Data","Anemia tomentosa"
"Asplenium harpeodes","SRX3700897","Fern Target Sequence Capture","Asplenium harpeodes"
"Asplenium septentrionale","SRX2298615","Asplenium septentrionale Transcriptome or Gene expression","Asplenium septentrionale"
"Athyrium filix-femina","SRX8165879|ERX2099976","DNA Barcodes from the Global Genome Initiative for Gardens Program|1000 Plant (1KP) Transcriptomes: The Remaining Data","Athyrium filix-femina"
"Austroblechnum divergens","SRX8338568","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Blechnum divergens"
"Blechnum occidentale","SRX3700898","Fern Target Sequence Capture","Blechnum occidentale"
"Blechnum polypodioides","SRX8338590","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Blechnum polypodioides"
"Culcita coniifolia","SRX3700891","Fern Target Sequence Capture","Culcita coniifolia"
"Cystopteris fragilis","SRX3868093|ERX2099981|ERX2099980","fern whole genome duplication study|1000 Plant (1KP) Transcriptomes: The Remaining Data","Cystopteris fragilis"
"Cystopteris reevesiana","ERX2099982","1000 Plant (1KP) Transcriptomes: The Remaining Data","Cystopteris reevesiana"
"Dennstaedtia bipinnata","SRX8338634","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Dennstaedtia bipinnata"
"Dennstaedtia cicutaria","SRX3700890","Fern Target Sequence Capture","Dennstaedtia cicutaria"
"Histiopteris incisa","SRX3868016|SRX3700889|SRX1098214","fern whole genome duplication study|Fern Target Sequence Capture|Samples collected from multiple fern species. raw sequence reads","Histiopteris incisa"
"Pteridium aquilinum|Pteridium aquilinum subsp. aquilinum|Pteridium aquilinum subsp. latiusculum","SRX10099867|SRX8165814|ERX1097619|SRX423244|SRX1098213|SRX1060230|SRX020701","Chloroplastid of Pteridium|DNA Barcodes from the Global Genome Initiative for Gardens Program|Hydroxynitrile lyases discovery in the trancriptome of the fern Pteridium aquilinum|Pteridium aquilinum subsp. aquilinum transcriptome|Samples collected from multiple fern species. raw sequence reads|Genome size and DNA methylation covary across Land Plants","Pteridium aquilinum"
"Lophosoria quadripinnata","SRX8338515|SRX8338504","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Lophosoria quadripinnata"
"Dryopteris filix-mas","SRX9009138","Raw sequence reads from Danish species","Dryopteris filix-mas"
"Dryopteris patula","SRX8338569","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Dryopteris patula"
"Elaphoglossum engelii","SRX8338573","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Elaphoglossum engelii"
"Polystichum acrostichoides","SRX8165861|ERX2099964","DNA Barcodes from the Global Genome Initiative for Gardens Program|1000 Plant (1KP) Transcriptomes: The Remaining Data","Polystichum acrostichoides"
"Equisetum giganteum","ERX955510|ERX955511","Whole transcriptome sequencing of Equisetum giganteum","Equisetum giganteum"
"Equisetum hyemale","ERX2099938|SRX2050812|SRX2050811","1000 Plant (1KP) Transcriptomes: The Remaining Data|Equisetum mutispecies stem and rhizome transcriptome","Equisetum hyemale"
"Gleichenella pectinata","SRX8338582","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Gleichenella pectinata"
"Hymenophyllum fragile","SRX3700888","Fern Target Sequence Capture","Hymenophyllum fragile"
"Vandenboschia radicans","SRX8338584","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Trichomanes radicans"
"Didymochlaena truncatula","SRX3868063|SRX3700900|ERX2099965","fern whole genome duplication study|Fern Target Sequence Capture|1000 Plant (1KP) Transcriptomes: The Remaining Data","Didymochlaena truncatula"
"Lindsaea quadrangularis","SRX3700903","Fern Target Sequence Capture","Lindsaea quadrangularis"
"Sphenomeris clavata","SRX8338585","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Sphenomeris clavata"
"Lonchitis hirsuta","ERX2100246","1000 Plant (1KP) Transcriptomes: The Remaining Data","Lonchitis hirsuta"
"Huperzia serrata","SRX5211341|SRX010999","Transcriptome Sequencing|Huperzia serrata Transcriptome or Gene expression","Huperzia serrata"
"Palhinhaea cernua","SRX2773448|SRX2779509","Conservation and divergence of small RNA pathways in vascular plants revealed by small RNA analyses in lycophytes and ferns|Transcriptome of 1 hornwort, 4 lycophytes and 21 ferns","Lycopodiella cernua"
"Lycopodium clavatum","SRX8338506|SRX8338505","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project","Lycopodium clavatum"
"Danaea nodosa","SRX8338587|SRX3868104|ERX2100253","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project|fern whole genome duplication study|1000 Plant (1KP) Transcriptomes: The Remaining Data","Danaea nodosa"
"Nephrolepis biserrata","SRX3868077","fern whole genome duplication study","Nephrolepis biserrata"
"Botrypus virginianus","SRX8338592|ERX2099939","Genealogy of Flagellate Plant (GoFlag) - GoFlag 451 Pilot Project|1000 Plant (1KP) Transcriptomes: The Remaining Data","Botrychium virginianum"
